count,bin
5000.0,0.0005855871170951351
5000.0,0.0009048777581867661
14000.0,0.001224168399278397
23000.0,0.0015434590403700283
29000.0,0.0018627496814616594
31000.0,0.00218204032255329
49000.0,0.0025013309636449216
46000.0,0.0028206216047365527
57000.0,0.0031399122458281837
41000.0,0.0034592028869198147
42000.0,0.0037784935280114457
44000.0,0.004097784169103077
32000.0,0.004417074810194708
34000.0,0.004736365451286339
26000.0,0.00505565609237797
27000.0,0.005374946733469601
26000.0,0.005694237374561232
29000.0,0.006013528015652863
22000.0,0.006332818656744494
20000.0,0.006652109297836125
18000.0,0.006971399938927756
13000.0,0.007290690580019387
13000.0,0.007609981221111018
18000.0,0.00792927186220265
15000.0,0.008248562503294282
7000.0,0.008567853144385913
3000.0,0.008887143785477544
6000.0,0.009206434426569175
9000.0,0.009525725067660806
6000.0,0.009845015708752437
7000.0,0.010164306349844068
3000.0,0.0104835969909357
1000.0,0.01080288763202733
2000.0,0.011122178273118961
3000.0,0.011441468914210592
4000.0,0.011760759555302223
4000.0,0.012080050196393854
4000.0,0.012399340837485485
2000.0,0.012718631478577117
2000.0,0.013037922119668748
1000.0,0.013357212760760379
0.0,0.01367650340185201
1000.0,0.01399579404294364
2000.0,0.014315084684035272
0.0,0.014634375325126903
0.0,0.014953665966218534
1000.0,0.015272956607310165
0.0,0.015592247248401796
1000.0,0.015911537889493427
2000.0,0.016230828530585058
,0.01655011917167669
